Sector:,Liquid Propane Gas (LPG),,,,,,,,,,
"July 10, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"July 17, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"July 24, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"July 31, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"August 7, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"August 14, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"August 21, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"August 28, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"September 4, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"September 11, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"September 18, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"September 25, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"October 2, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"October 9, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"October 16, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"October 23, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"October 30, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"November 6, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"November 13, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"November 20, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"November 27, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"December 4, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"December 11, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"December 18, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"December 25, 2011",402,0,0,0,0,1,"82,000",63,"3,618,800 ",,
"January 1, 2012",402,0,0,0,0,0,0,63,"3,618,800 ",,
"January 8, 2012",402,0,0,0,0,0,0,63,"3,618,800 ",,
"January 15, 2012",402,0,0,0,0,0,0,63,"3,618,800 ",,
"January 22, 2012",402,0,0,0,0,0,0,63,"3,618,800 ",,
"January 29, 2012",399,0,0,3,"403,386",0,0,63,"3,618,800 ",,
"February 5, 2012",399,0,0,0,0,0,0,63,"3,618,800 ",,
"February 12, 2012",399,0,0,0,0,1,0,64,"3,618,800 ",,
"February 19, 2012",399,0,0,0,0,0,0,64,"3,618,800 ",,
"February 26, 2012",399,0,0,0,0,0,0,64,"3,618,800 ",,
"March 4, 2012",399,0,0,0,0,0,0,64,"3,618,800 ",,
"March 11, 2012",399,0,0,0,0,2,0,66,"3,618,800 ",,
"March 18, 2012",399,0,0,0,0,0,0,66,"3,618,800 ",,
"March 25, 2012",399,0,0,0,0,0,0,66,"3,618,800 ",,
"April 1, 2012",399,0,0,0,0,0,0,66,"3,618,800 ",,
"April 8, 2012",399,0,0,0,0,0,0,66,"3,618,800 ",,
"April 15, 2012",399,0,0,0,0,0,0,66,"3,618,800 ",,
"April 22, 2012",399,0,0,0,0,0,0,66,"3,618,800 ",,
"April 29, 2012",399,0,0,0,0,0,0,66,"3,618,800 ",,
"May 6, 2012",399,0,0,0,0,0,0,66,"3,618,800 ",,
"May 13, 2012",399,0,0,0,0,0,0,66,"3,618,800 ",,
"May 20, 2012",399,0,0,0,0,0,0,66,"3,618,800 ",,
"May 27, 2012",399,0,0,0,0,0,0,66,"3,618,800 ",,
"June 3, 2012",399,0,0,0,0,6,"492,000",72,"4,110,800 ",,
"June 10, 2012",399,0,0,0,0,0,0,72,"4,110,800 ",,
"June 17, 2012",399,0,0,0,0,0,0,72,"4,110,800 ",,
"June 24, 2012",399,0,0,0,0,0,0,72,"4,110,800 ",,
"July 1, 2012",399,0,0,0,0,0,0,72,"4,110,800 ",,
"July 8, 2012",399,0,0,0,0,0,0,72,"4,110,800 ",,
"July 15, 2012",399,0,0,0,0,0,0,72,"4,110,800 ",,
"July 22, 2012",399,0,0,0,0,0,0,72,"4,110,800 ",,
"July 29, 2012",399,0,0,0,0,1,"82,000",73,"4,192,800 ",,
"August 5, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"August 12, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"August 19, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"August 26, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"September 2, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"September 9, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"September 16, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"September 23, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"September 30, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"October 7, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"October 14, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"October 21, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"October 28, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"November 4, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"November 11, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"November 18, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"November 25, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"December 2, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"December 9, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"December 16, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"December 23, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"December 30, 2012",399,0,0,0,0,0,0,73,"4,192,800 ",,
"January 6, 2013",399,0,0,0,0,1,"82,000",74,"4,274,800 ",,
"January 13, 2013",399,0,0,0,0,0,0,74,"4,274,800 ",,
"January 20, 2013",399,0,0,0,0,0,0,74,"4,274,800 ",,
"January 27, 2013",399,0,0,0,0,0,0,74,"4,274,800 ",,
"February 3, 2013",399,0,0,0,0,0,0,74,"4,274,800 ",,
"February 10, 2013",399,0,0,0,0,0,0,74,"4,274,800 ",,
"February 17, 2013",399,0,0,0,0,0,0,74,"4,274,800 ",,
"February 24, 2013",399,0,0,0,0,0,0,74,"4,274,800 ",,
"March 3, 2013",399,0,0,0,0,0,0,74,"4,274,800 ",,
"March 10, 2013",399,0,0,0,0,0,0,74,"4,274,800 ",,
"March 17, 2013",399,0,0,0,0,0,0,74,"4,274,800 ",,
"March 24, 2013",399,0,0,0,0,0,0,74,"4,274,800 ",,
"March 31, 2013",399,0,0,0,0,0,0,74,"4,274,800 ",,
"April 7, 2013",399,0,0,0,0,0,0,74,"4,274,800 ",,
"April 14, 2013",399,0,0,0,0,0,0,74,"4,274,800 ",,
"April 21, 2013",399,0,0,0,0,0,0,74,"4,274,800 ",,
"April 28, 2013",399,0,0,0,0,0,0,74,"4,274,800 ",,
"May 5, 2013",399,0,0,0,0,0,0,74,"4,274,800 ",,
"May 12, 2013",399,0,0,0,0,5,"420,000",79,"4,694,800 ",,
"May 19, 2013",399,0,0,0,0,0,0,79,"4,694,800 ",,
"May 26, 2013",399,0,0,0,0,0,0,79,"4,694,800 ",,
"June 2, 2013",399,0,0,0,0,0,0,79,"4,694,800 ",,
"June 9, 2013",399,0,0,0,0,0,0,79,"4,694,800 ",,
"June 16, 2013",399,0,0,0,0,0,0,79,"4,694,800 ",,
"June 23, 2013",399,0,0,0,0,0,0,79,"4,694,800 ",,
"June 30, 2013",399,0,0,0,0,1,"84,000",80,"4,778,800 ",,
"July 7, 2013",399,0,0,0,0,0,0,80,"4,778,800 ",,
"July 14, 2013",399,0,0,0,0,0,0,80,"4,778,800 ",,
"July 21, 2013",399,0,0,0,0,0,0,80,"4,778,800 ",,
"July 28, 2013",399,0,0,0,0,0,0,80,"4,778,800 ",,
"August 4, 2013",399,0,0,0,0,0,0,80,"4,778,800 ",,
"August 11, 2013",399,0,0,0,0,0,0,80,"4,778,800 ",,
"August 18, 2013",399,0,0,0,0,0,0,80,"4,778,800 ",,
"August 25, 2013",399,0,0,0,0,0,0,80,"4,778,800 ",,
"September 1, 2013",399,0,0,0,0,0,0,80,"4,778,800 ",,
"September 8, 2013",399,0,0,0,0,0,0,80,"4,778,800 ",,
"September 15, 2013",399,0,0,0,0,0,0,80,"4,778,800 ",,
"September 22, 2013",399,0,0,0,0,2,"166,000",82,"4,944,800 ",,
"September 29, 2013",399,0,0,0,0,0,0,82,"4,944,800 ",,
"October 6, 2013",399,0,0,0,0,0,0,82,"4,944,800 ",,
"October 13, 2013",399,0,0,0,0,0,0,82,"4,944,800 ",,
"October 20, 2013",399,0,0,0,0,2,"168,000",84,"5,112,800 ",,
"October 27, 2013",399,0,0,0,0,0,0,84,"5,112,800 ",,
"November 3, 2013",399,0,0,0,0,0,0,84,"5,112,800 ",,
"November 10, 2013",399,0,0,0,0,0,0,84,"5,112,800 ",,
"November 17, 2013",399,0,0,0,0,2,"168,000",86,"5,280,800 ",,
"November 24, 2013",399,0,0,0,0,2,"168,000",88,"5,448,800 ",,
"December 1, 2013",399,0,0,0,0,6,"504,000",94,"5,952,800 ",,
"December 8, 2013",399,0,0,0,0,0,0,94,"5,952,800 ",,
"December 15, 2013",399,0,0,0,0,0,0,94,"5,952,800 ",,
"December 22, 2013",399,0,0,0,0,0,0,94,"5,952,800 ",,
"December 29, 2013",399,0,0,0,0,0,0,94,"5,952,800 ",,
"January 5, 2014",399,0,0,0,0,0,0,94,"5,952,800 ",,
"January 12, 2014",399,0,0,0,0,0,0,94,"5,952,800 ",,
"January 19, 2014",399,0,0,0,0,0,0,94,"5,952,800 ",,
"January 26, 2014",399,0,0,0,0,0,0,94,"5,952,800 ",,
"February 2, 2014",399,0,0,0,0,0,0,94,"5,952,800 ",,
"February 9, 2014",399,0,0,0,0,0,0,94,"5,952,800 ",,
"February 16, 2014",399,0,0,0,0,0,0,94,"5,952,800 ",,
"February 23, 2014",399,0,0,0,0,10,"840,000",104,"6,792,800 ",,
"March 2, 2014",399,0,0,0,0,4,"336,000",108,"7,128,800 ",,
"March 9, 2014",399,0,0,0,0,0,0,108,"7,128,800 ",,
"March 16, 2014",399,0,0,0,0,1,"84,000",109,"7,212,800 ",,
"March 23, 2014",399,0,0,0,0,0,0,109,"7,212,800 ",,
"March 30, 2014",399,0,0,0,0,0,0,109,"7,212,800 ",,
"April 6, 2014",399,0,0,0,0,1,"83,000",110,"7,295,800 ",,
"April 13, 2014",399,0,0,0,0,0,0,110,"7,295,800 ",,
"April 20, 2014",399,0,0,0,0,0,0,110,"7,295,800 ",,
"April 27, 2014",399,0,0,0,0,0,0,110,"7,295,800 ",,
"May 4, 2014",399,0,0,0,0,0,0,110,"7,295,800 ",,
"May 11, 2014",399,0,0,0,0,0,0,110,"7,295,800 ",,
"May 18, 2014",399,0,0,0,0,0,0,110,"7,295,800 ",,
"May 25, 2014",399,0,0,0,0,0,0,110,"7,295,800 ",,
"June 1, 2014",399,0,0,0,0,0,0,110,"7,295,800 ",,
"June 8, 2014",399,0,0,0,0,0,0,110,"7,295,800 ",,
"June 15, 2014",399,0,0,0,0,0,0,110,"7,295,800 ",,
"June 22, 2014",399,0,0,0,0,0,0,110,"7,295,800 ",,
"June 29, 2014",399,0,0,0,0,0,0,110,"7,295,800 ",,
"July 6, 2014",399,0,0,0,0,1,"82,000",111,"7,377,800 ",,
"July 13, 2014",399,0,0,0,0,0,0,111,"7,377,800 ",,
"July 20, 2014",399,0,0,0,0,0,0,111,"7,377,800 ",,
"July 27, 2014",399,0,0,0,0,0,0,111,"7,377,800 ",,
"August 3, 2014",399,0,0,0,0,0,0,111,"7,377,800 ",,
"August 10, 2014",399,0,0,0,0,0,0,111,"7,377,800 ",,
"August 17, 2014",399,0,0,0,0,17,"1,411,000",128,"8,788,800 ",,
"August 24, 2014",399,0,0,0,0,0,0,128,"8,788,800 ",,
"August 31, 2014",399,0,0,0,0,0,0,128,"8,788,800 ",,
"September 7, 2014",399,0,0,0,0,4,"336,000",132,"9,124,800 ",,
"September 14, 2014",399,0,0,0,0,0,0,132,"9,124,800 ",,
"September 21, 2014",399,0,0,0,0,2,"168,000",134,"9,292,800 ",,
"September 28, 2014",399,0,0,0,0,2,"168,000",136,"9,460,800 ",,
"October 5, 2014",399,0,0,0,0,1,"83,000",137,"9,543,800 ",,
"October 12, 2014",399,0,0,0,0,0,0,137,"9,543,800 ",,
"October 19, 2014",399,0,0,0,0,0,0,137,"9,543,800 ",,
"October 26, 2014",399,0,0,0,0,0,0,137,"9,543,800 ",,
"November 2, 2014",399,0,0,0,0,0,0,137,"9,543,800 ",,
"November 9, 2014",399,0,0,0,0,0,0,137,"9,543,800 ",,
"November 16, 2014",399,0,0,0,0,0,0,137,"9,543,800 ",,
"November 23, 2014",399,0,0,0,0,0,0,137,"9,543,800 ",,
"November 30, 2014",399,0,0,0,0,1,"84,000",138,"9,627,800 ",,
"December 7, 2014",399,0,0,0,0,0,0,138,"9,627,800 ",,
"December 14, 2014",399,0,0,0,0,0,0,138,"9,627,800 ",,
"December 21, 2014",399,0,0,0,0,0,0,138,"9,627,800 ",,
"December 28, 2014",399,0,0,0,0,0,0,138,"9,627,800 ",,
"January 4, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"January 11, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"January 18, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"January 25, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"February 1, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"February 8, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"February 15, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"February 22, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"March 1, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"March 8, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"March 15, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"March 22, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"March 29, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"April 5, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"April 12, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"April 19, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"April 26, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"May 3, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"May 10, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"May 17, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"May 24, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"May 31, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"June 7, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"June 14, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"June 21, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"June 28, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"July 5, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"July 12, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"July 19, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"July 26, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"August 2, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"August 9, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"August 16, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"August 23, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"August 30, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"September 6, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"September 13, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"September 20, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"September 27, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"October 4, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"October 11, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"October 18, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"October 25, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"November 1, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"November 8, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"November 15, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"November 22, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"November 29, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"December 6, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"December 13, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"December 20, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"December 27, 2015",399,0,0,0,0,0,0,138,"9,627,800 ",,
"January 3, 2016",399,0,0,0,0,0,0,138,"9,627,800 ",,
"January 10, 2016",399,0,0,0,0,0,0,138,"9,627,800 ",,
"January 17, 2016",399,0,0,0,0,0,0,138,"9,627,800 ",,
"January 24, 2016",399,0,0,0,0,0,0,138,"9,627,800 ",,
"January 31, 2016",399,0,0,0,0,0,0,138,"9,627,800 ",,
"February 7, 2016",399,0,0,0,0,0,0,138,"9,627,800 ",,
"February 14, 2016",399,0,0,0,0,0,0,138,"9,627,800 ",,
"February 21, 2016",399,0,0,0,0,0,0,138,"9,627,800 ",,
"February 28, 2016",399,0,0,0,0,0,0,138,"9,627,800 ",,
"March 6, 2016",399,0,0,0,0,0,0,138,"9,627,800 ",,
"March 13, 2016",399,0,0,0,0,0,0,138,"9,627,800 ",,
"March 20, 2016",399,0,0,0,0,0,0,138,"9,627,800 ",,
"March 27, 2016",399,0,0,0,0,0,0,138,"9,627,800 ",,
